time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,horizontalError,depthError,magError,magNst
2023-01-02T06:22:55.721Z,-63.376,171.751,10.0,4.5,mb,11.0,157.0,11.067,0.32,us,us7000j43t,2023-03-11T22:51:47.040Z,Balleny Islands region,14.47,1.933,0.204,7.0
2023-01-02T06:29:12.522Z,24.015,121.713,29.844,4.5,mb,23.0,91.0,0.191,0.32,us,us7000j43w,2023-03-11T22:51:47.040Z,"11 km ENE of Hualien City, Taiwan",3.02,6.114,0.242,5.0
2023-01-02T06:45:13.694Z,-24.12,-66.923,195.266,4.5,mb,84.0,43.0,1.637,0.84,us,us7000j1jc,2023-03-11T22:51:31.040Z,"62 km W of San Antonio de los Cobres, Argentina",7.83,6.802,0.045,147.0
2023-01-02T06:51:59.485Z,63.149,-150.423,106.5,2.6,ml,,,,0.51,ak,ak0233eycoy,2023-03-11T22:51:31.040Z,"74 km NNE of Petersville, Alaska",,0.2,,
2023-01-02T06:55:06.060Z,17.963,-67.008,9.0,4.1,ml,31.0,196.0,0.0371,0.1,pr,pr2023002000,2023-03-11T22:51:31.040Z,"4 km ESE of La Parguera, Puerto Rico",0.37,0.52,0.08,20.0
2023-01-02T06:56:51.300Z,17.946,-67.008,10.55,2.88,md,5.0,230.0,0.1133,0.17,pr,pr71390378,2023-01-02T08:25:00.790Z,"5 km SE of La Parguera, Puerto Rico",1.27,0.82,0.104090502636209,5.0
2023-01-02T07:01:23.740Z,17.966,-67.009,9.16,2.66,md,9.0,191.0,0.03353,0.06,pr,pr71390408,2023-01-02T08:47:30.043Z,"4 km ESE of La Parguera, Puerto Rico",0.35,0.61,0.132930747804948,6.0
2023-01-02T07:02:58.576Z,52.844,-162.171,10.0,3.9,mb,69.0,195.0,2.095,0.57,us,us7000j5l9,2023-03-11T22:51:52.040Z,south of Alaska,6.41,1.997,0.209,6.0
2023-01-02T07:10:12.484Z,40.577,-29.314,10.0,4.7,mb,130.0,60.0,1.643,0.49,us,us7000j1jp,2023-03-11T22:51:31.040Z,"198 km NE of Santa Cruz das Flores, Portugal",7.72,1.832,0.048,134.0
2023-01-02T07:20:26.985Z,40.476,-29.349,10.0,5.3,mww,198.0,57.0,1.568,0.33,us,us7000j1jv,2023-03-11T22:51:31.040Z,Azores Islands region,7.61,1.829,0.041,56.0
2023-01-02T07:29:24.150Z,17.88,-66.958,7.72,3.14,md,32.0,234.0,0.1208,0.11,pr,pr71390393,2023-01-02T08:25:52.998Z,"11 km SSW of Guánica, Puerto Rico",0.44,0.28,0.166892565006786,19.0
2023-01-02T07:42:32.356Z,59.834,-153.408,128.0,2.7,ml,,,,0.44,ak,ak0233fhsrb,2023-03-11T22:51:31.040Z,"39 km E of Pedro Bay, Alaska",,0.2,,
2023-01-02T08:02:57.562Z,-63.392,171.223,10.0,4.6,mb,20.0,176.0,10.921,0.32,us,us7000j43y,2023-03-11T22:51:47.040Z,Balleny Islands region,10.14,1.956,0.141,15.0
2023-01-02T08:12:28.553Z,35.729,25.838,10.0,4.4,mb,90.0,69.0,1.914,0.5,us,us7000j1k7,2023-03-11T22:51:31.040Z,,6.62,1.877,0.068,62.0
2023-01-02T08:27:17.546Z,59.929,-151.581,65.8,3.1,ml,,,,0.66,ak,ak0233fzzfo,2023-03-11T22:51:32.040Z,"8 km ESE of Happy Valley, Alaska",,0.3,,
2023-01-02T08:32:23.252Z,52.675,-169.101,64.919,2.9,ml,15.0,211.0,0.333,0.4,us,us7000j5e8,2023-03-11T22:51:52.040Z,"33 km SSW of Nikolski, Alaska",7.32,17.399,0.097,14.0
2023-01-02T08:34:06.753Z,41.188,140.217,155.599,4.2,mb,92.0,53.0,0.755,0.42,us,us7000j1kf,2023-03-11T22:51:32.040Z,"43 km NNW of Shimokizukuri, Japan",8.03,5.705,0.078,46.0
2023-01-02T08:47:45.595Z,43.372,-127.738,10.0,3.4,ml,37.0,269.0,2.708,0.27,us,us7000j1ks,2023-03-11T22:51:32.040Z,"271 km W of Bandon, Oregon",11.88,2.024,0.041,78.0
2023-01-02T08:49:34.900Z,43.399,-127.268,10.0,3.9,mb,72.0,191.0,2.366,0.53,us,us7000j1kj,2023-03-11T22:51:32.040Z,"234 km W of Bandon, Oregon",8.99,1.972,0.133,15.0
